mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,varieties
223.8680332,219.5791463,216.505981,23.70611094,21.58076971,25.15742042,53.05387287,9.415670157,224.2753108,67.87746832,5.950760946,22.81142092,0
211.3714627,212.7592341,208.6875821,29.72121264,25.10307209,30.16538779,68.90086328,8.720330062,214.4582626,58.04478515,9.670569682,25.71077678,0
216.6460286,214.9910121,211.3405472,25.52625644,23.06202651,27.41266464,66.5265453,8.446108961,217.7641175,66.3732357,8.632247648,23.64987498,0
217.3955069,215.975863,212.6549525,27.41989207,23.6984635,27.66549817,62.99388667,8.002196888,218.7516539,66.15306282,6.623307122,25.04796136,0
196.8970894,212.5512675,213.0396259,31.23930508,25.96965835,29.20374105,90.88842058,21.77302659,214.399805,8.73593036,10.29837336,27.49889225,0
223.1999429,218.8051441,215.8790256,23.5852837,22.01767509,25.72001331,60.62000235,9.6542383,223.712109,71.11192276,8.552783521,22.53726397,0
223.5749612,220.8326412,216.907309,22.85555341,20.6098323,24.13802816,40.32400809,8.662577368,224.107595,54.51910983,6.13246411,21.81029133,0
220.139489,215.6388406,211.645687,26.25744877,24.84464869,29.12546121,39.8005278,10.92438999,220.4693652,58.44926145,9.055212978,25.60871311,0
211.4144877,209.8893068,205.1400659,27.05599234,24.61975105,30.19578284,64.53480835,10.5440976,212.8923897,64.50723071,11.35664486,24.91093664,0
217.7784412,212.5399968,207.4349853,22.70769437,22.56538179,27.21056382,35.58191138,13.33434713,218.1896132,53.03100502,11.40515919,21.93092419,0
215.1508778,214.62351,210.1429501,25.62197662,22.99308442,27.08604189,52.34348577,8.038562838,216.3439183,56.59524039,6.695270097,23.68676293,0
210.7438965,208.3812101,203.0684201,29.11685407,26.31360607,31.45812021,56.78928484,11.84711139,212.0097354,62.7305214,10.11939696,27.03992496,0
224.3295953,218.8559647,216.1628026,23.99112648,23.34970719,27.02552536,63.90789496,10.3000861,224.5137625,74.62137846,8.086605467,23.5532178,0
216.5422812,212.6012201,208.281904,31.64047023,27.39489783,31.85846404,47.73648398,12.34624446,218.0210142,61.68373125,9.096462584,29.06860728,0
91.93538207,166.4898588,108.2454912,7.255705594,5.569713536,6.953199449,66.48052691,114.3796032,166.4898588,0.63596505,7.40978564,5.569713536,0
211.7135437,209.6378545,205.245045,29.96722944,26.63051137,31.9130022,59.59028903,10.77449571,213.124291,63.85518719,8.725380291,27.7955994,0
223.4958908,219.4319385,216.4077438,26.09216687,24.89978574,29.86480012,75.8820071,9.786994139,223.8299421,74.58863521,7.802488961,25.50627169,0
92.40991698,167.5477608,110.2042544,7.470410037,5.765499483,7.114872755,67.07134401,114.5587392,167.5477608,0.668703003,7.657821851,5.765499483,0
217.5228003,214.8235169,210.5034872,32.07163064,28.02434328,32.70058357,49.31809595,10.6266413,218.726327,61.54024287,9.681607381,29.59642154,0
217.5228003,214.8235169,210.5034872,32.07163064,28.02434328,32.70058357,49.31809595,10.6266413,218.726327,61.54024287,9.681607381,29.59642154,0
85.34593558,157.7625745,98.24510723,5.928976953,4.406395079,5.686039428,65.38517604,117.1613278,157.7625745,0.661730426,6.850606056,4.406395079,0
