,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,varieties
0,204.48135734175222,200.43706202522063,194.5800525659869,27.480547109024876,24.20474258224032,29.387556560694712,41.60459537770236,14.395938213934192,205.34765057439216,55.99761727453203,8.720536173537875,26.020150228688145,6
1,202.75170827948847,202.71035416423345,196.44376963061478,26.609063485476234,23.104662296939754,28.766697137699467,44.97229579451165,10.925271484887645,204.37666165579722,50.14146966143509,10.600669523285218,24.016574888976933,6
2,213.2939949363031,207.44478516852695,203.3391274513978,25.583459836781657,23.20914357957278,26.614441696331113,40.69954772321462,12.977249676319078,213.69889660491896,59.6802757837866,7.505850866387579,24.848331255126528,6
3,200.1691687465653,199.10870952784393,193.80775153416377,32.37817859605389,28.27324482436488,33.56937859892616,62.67098484154607,12.230090217988643,202.23859967484887,62.783062378561795,8.170988207009774,30.00916675895621,6
4,207.92299402566442,208.29202581319362,202.4785020074711,28.685612643828392,24.515112480775166,29.81983406476879,51.149265862468724,10.267587823458657,210.02283600421632,53.03602297236294,8.876729180431642,25.390765915963875,6
5,213.99986005997894,211.87128447040024,206.57232376913802,24.940078020190146,21.43241494867622,25.978221653766813,44.66664497053937,11.032397742084033,215.1832042684961,55.81439102453326,6.777050786387577,22.746091378174928,6
6,214.45798902176125,212.5750874950421,207.24078347879876,24.642143341737437,21.870083772200562,25.77147043522628,32.25619863583772,9.974685521343035,215.23701857176033,41.69124388758539,5.8494442059037315,23.251592522154542,6
7,214.04216775058234,212.63164831882057,209.49307666533448,27.055549847602965,23.695793392491044,27.037462464184134,54.189881031677785,7.561306834925902,215.26439064562618,61.16091419483879,4.862694791908441,25.234717610340557,6
8,217.10080535809672,212.06974565476435,208.73653969949734,27.001884628070453,24.57267729237628,28.12735398512377,49.30689622111736,11.087303283066936,217.5739614578625,65.60934123638862,6.5657617724520065,26.050246702810334,6
9,210.16681627789154,206.25181210352432,201.7459929642289,26.848155708654215,23.36622680189558,28.468863019040384,56.306220163977706,12.491266652871037,211.1442946746491,65.36204900548753,7.87951916558494,25.01544240610189,6
10,214.27165343672638,210.5615951728515,205.50299741617613,28.049272127216806,24.45270259609018,28.924399276669178,32.37845800759807,12.234216565950677,215.24537603811666,47.56479953207248,6.626196835606582,26.199149431729126,6
11,204.50505141446035,204.53341618381876,198.32403489366627,31.366445188813323,27.35366824545184,33.83443750619972,67.24597430241606,11.854145632503972,206.60547199053383,61.970525489122366,10.438374505515691,28.518675788676504,6
12,212.27394518053816,207.08313713558533,203.3920477732461,25.633970723174265,23.85914305603796,27.121068149513302,41.1925720136288,11.635850942835825,212.5777220777402,59.769532924546766,6.374697982532321,25.02929452171567,6
13,207.61141902920355,203.7048171128003,199.55327296972536,27.71887016914819,24.677634949578056,29.024659293971112,48.49259852818292,11.786248777186163,208.3852627216371,62.84755681179598,6.859113305783672,26.166495985541694,6
14,212.27877510377738,206.14440248807045,202.37465763167765,28.893719638275527,25.547299196556388,29.283031784712428,42.32073478255247,13.253037023626323,212.88181148081574,61.440794189828324,6.013820095307059,27.794999487433998,6
15,204.12712732725228,204.36284628558408,198.8250832408435,28.827507179812727,23.95108187181617,28.82945886363402,51.196523362562566,10.477831107452353,206.49677547390317,53.915831950737896,7.92718064105488,25.27243439042002,6
16,207.43326347023682,206.92819282760087,201.53025272077443,26.378566392257248,23.181715516715506,27.963738201412234,50.888061319526166,10.032304295830441,209.00320997519566,55.017927605739594,7.620458257521072,23.8926596632541,6
17,206.1653874678006,204.9376286329906,200.15935789921755,26.322605053707857,24.47486338914301,29.177582631267807,60.23965121534863,10.556747719164285,207.67576367952887,59.13967264185692,9.792083401189783,24.48530723939362,6
18,210.768730223994,209.2632838151081,205.3870585220806,25.564355745752195,23.2719007308296,26.43201204375046,52.65171734687189,8.133119707776924,211.5957635400466,58.32051753736104,5.932731792725644,24.210543721678643,6
19,181.41831976262284,179.65230133246035,172.4537226002828,30.302011212596316,26.75726628686743,34.07578971159591,48.348398679380644,16.80596089685099,183.0291584534266,55.216857744650554,14.118577821234508,28.10539846208543,6
20,206.12135377916886,204.9023129840096,199.41059589299655,29.455700792313966,27.239426433800936,33.54612662089032,68.85199247941183,11.692782874169419,207.53568797622145,64.92603619370243,11.350854580645565,27.71329233693312,6
21,208.83016069624173,207.2148668470289,202.31243032693374,26.80322688574817,25.12645622472629,30.245630018178584,58.515794191466476,10.500472636005085,209.87579614720167,60.898583656300325,9.794344003370698,25.301913898855798,6
22,205.81731361742519,205.12399703353276,199.78607490113578,28.805154120963586,25.882474679571803,31.77205287829392,63.16104976616368,10.762890186658248,207.4150546050512,61.20382154335566,10.610472933701141,26.476688672385272,6
23,182.22206700374903,182.49300481228408,175.21229744564604,32.789304675607916,27.662671839706416,33.67269877699566,44.409230563872654,14.871037230186438,184.81459242876508,47.27664746115855,10.551300309052712,29.469251768727133,6
24,209.47229648023023,209.78828274419322,204.95658328638632,28.344005084287407,24.54743539267185,30.21609620730051,65.88373528345826,9.525927308088402,211.72788257626047,61.27106218970696,10.210604633156965,25.096051964953226,6
25,210.9231524922517,209.81271147885923,205.58489152378516,26.629646862382867,23.2756969597529,27.168953504362243,53.17869999146976,8.6526856037988,212.153778896187,58.983874781726236,6.132017570035243,24.438552118134456,6
26,215.36209565431193,214.73865442620226,210.5382052782674,27.62875401246819,23.972630720923807,28.13119633440085,54.83433644193109,8.164693924901911,216.8090549885895,59.32622710440815,5.944883183204495,25.14406953548918,6
27,213.52720637846198,212.93584099922654,208.99431023417316,29.80031237568045,25.846000348890545,30.316230432168876,61.937861010087715,8.578854476936495,215.20139631708,63.15602636737004,7.706059431923711,26.859979628220586,6
28,206.27121638375814,206.2868053287253,200.7639390842263,28.435805413577203,24.346326542258605,29.536259219342707,56.87439633887209,10.188382662325575,208.26659255903147,57.79611299869372,7.344027554604174,25.768106127057138,6
29,205.4376322641405,205.82341144534928,199.83656491791774,29.811563634578146,25.07347330098941,30.894529005558905,55.262059350359166,10.958336564917918,207.86253947149743,56.372840661775264,10.009534906346971,26.266880448675504,6
30,206.8687656052526,207.0892774575383,201.8875689713634,30.534673240000057,25.359533668418397,30.73533184798211,61.99676720816251,10.428959495699885,209.39433702721865,60.91635137211731,8.651194047646886,26.873227373531687,6
31,207.12225409836066,207.2416874554526,201.42035281539557,29.469862327162403,25.14620908394783,30.967448074028404,61.59961689237348,10.745212045616537,209.25072523164647,60.08761524270451,9.463591149188536,26.3468612148508,6
32,213.72478446572583,213.2866219276272,207.62246367100656,26.57322177853726,22.602715409319117,27.24954007745006,38.445067538081446,9.90226306692644,215.33482463464836,44.05776165119384,7.265129277619452,23.76019809015683,6
33,212.92056832904524,212.166728639722,207.4072179989762,24.714869801401168,21.233284474418813,24.542056033171473,47.989505154879836,8.833006237879822,214.31660449907707,52.19608263308886,5.864423815260314,22.460377835769943,6
34,210.65993508342794,209.6902906030921,205.12819657549477,27.78879812105659,23.918497136843932,28.099845422209924,49.38221387357654,9.153646290509462,212.14704734930498,56.61455052725649,6.384087237461284,25.51243117903135,6
35,215.0750755710275,213.45222556443997,210.64137859368302,28.58658777949937,25.433741500521045,28.867888008090762,62.80913977995795,7.463288903074242,216.23364019469398,66.3089822017179,5.236232419464139,26.75839125977214,6
36,213.2302556282433,211.17028443600515,207.16703787277763,28.172801623166773,24.77422770302135,29.283423714777015,57.09854790672268,9.59507699410839,214.46735553850357,64.63365431583662,6.469995940893706,26.118569800300865,6
37,209.31972277549693,206.82795883844622,201.1950061442155,24.72788184095441,22.09215669479067,27.175524837123387,40.33686560583841,11.61364453602574,210.1220056720646,52.52639602163724,7.7377124242920745,23.366247425820397,6
38,206.74348642073764,206.8800822788086,201.86983768530465,26.863401516866215,23.080383497133518,27.530273272938132,58.5658278394528,9.486522340076796,208.7861575297954,57.513110331012655,8.07485020515213,24.293870222450106,6
39,217.15181700036155,212.96581361944126,209.87980535279806,26.959556719792786,25.188279068495252,28.50824093463944,43.12721249963357,9.680432679623603,217.56795747466754,60.79684760531002,6.1609014514775104,26.21169003959367,6
40,209.32151972462776,208.39136320307622,204.26816837830515,28.196982882722523,24.761830405017804,29.473385547912606,62.15474182505558,8.682119276729942,210.63174492744244,63.74993780834476,6.486879024419695,26.088030263768903,6
41,207.71265008747125,206.34423685556982,201.5909363865034,27.44852209987929,25.51561742890794,31.366123754337078,65.15752022868138,10.407206956031532,208.79885751226283,60.92001002316599,8.794626612117346,26.310814824640655,6
42,205.74162009954867,205.46923953264815,200.03654479253717,33.31913189186849,28.643744283595222,34.27029905619807,60.87423999497546,11.273092376484463,208.0538358336808,62.24362779717121,9.017355725768192,30.195794661984664,6
43,215.8268628870711,214.2490046210767,210.62172452815807,24.465972049985787,21.487014039771246,24.72484077048298,49.99307252721034,8.201928955709572,217.00799451236787,57.01408814971641,5.748689366794276,22.47668247999646,6
44,206.46142085070832,205.8463024287455,200.2900907963795,26.81452028832848,22.905726718332392,27.181000152464005,49.924626056911364,10.74847327634984,208.3322182589586,53.684519900928095,6.881036494464238,24.31147487860341,6
45,199.12437382777108,200.40110790951528,193.5516434354273,26.78699581636621,21.684175854667476,27.185433171100872,55.40957246893877,11.999217454931033,202.19387871822386,53.06811361945515,8.895622655927125,23.10177244530238,6
46,207.35776490619222,207.4315300893679,201.98180462888286,28.42331864617878,24.142655444082877,29.255741924232513,62.36245936896644,10.106302596312862,209.297633013173,61.315120057316406,8.027176192457437,25.445550161559318,6
47,199.51018906925552,200.36779036686534,194.65908685489612,27.42341984130971,22.876871172117443,28.35848227497504,58.0241977751582,11.044309256320238,202.35056614113714,55.814892634029725,9.036033212147622,24.254150287943574,6
48,208.1942752419839,207.31149129489913,202.03213461923303,27.972685189443624,24.748583853804433,30.237072384686424,56.86006888246797,10.399922059592814,209.67049288530472,60.20312010864305,8.570075844342073,25.74667613546247,6
49,211.62692817630543,209.13627887643736,204.64365313938072,26.00764401935795,24.607175539436394,29.372665178967285,62.91798689275487,10.428955872712844,212.44476572729766,65.14865307097101,10.048142502862378,24.843724006066456,6
50,208.32805807904603,207.9734136645249,202.97391376336202,27.548978098579692,24.378468771787844,28.732057161472348,52.46148140764306,9.935904562219223,210.08271229280112,55.523967146082065,7.9855702235933625,25.1446647017402,6
51,209.75717093390386,208.27970408911477,203.75134847373866,27.83464198400862,25.137661915949916,29.75678986551825,60.81385370524758,9.997411867908166,211.11992125114256,62.999589646877226,8.71222741556683,25.765661976718278,6
52,216.3132222999632,212.15923021992685,208.1421799375347,26.966589569202174,23.997030274862336,28.023783592747492,39.13465236553012,11.196311230046813,217.08229549110266,57.004325782650405,6.177538094984678,25.39584846895031,6
53,206.28264851312767,206.49099693571975,200.3729925482276,29.109826123487803,25.99706223141174,32.451275841598125,66.30593181976461,10.924824152099728,208.13846542238318,61.60760283538768,10.429714121447821,26.581638331459903,6
