,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,varieties
0,208.9330203,203.1156681,197.1204067,27.72226836,26.56148133,31.67015495,44.10746056,15.95216051,209.270273,58.8321584,12.12279347,27.27791424,2
1,207.3064541,202.1160346,195.8078966,29.0542909,29.43694695,35.94307398,48.31671832,17.33895979,208.3443525,60.868506,17.49128735,27.58539892,2
2,215.6567637,210.7939047,207.7898314,25.04051346,25.18471692,29.06067873,61.28100595,10.56857709,215.8498007,71.16145741,9.11228293,24.71869758,2
3,213.9581659,207.9465253,201.4406511,25.70452826,25.08689598,31.6126719,44.03618014,16.36157624,214.1073558,61.49844836,14.0259941,25.40551801,2
4,203.4582984,201.6806804,195.2877856,28.92230704,26.43706968,33.36242376,65.02922368,13.46854089,204.787089,63.94589638,12.44711535,27.15048417,2
5,212.3634642,207.4119154,203.2720799,28.00075772,26.31638436,30.69867335,49.25862081,12.81444166,213.0628543,62.92379308,9.571292281,26.70883534,2
6,205.2909686,201.1878859,193.4682927,28.73383705,25.54013872,30.6247098,30.83651926,17.51749314,206.6673764,36.23836465,12.15859544,26.96947944,2
7,208.8261345,207.9150911,203.0939092,29.89214562,27.39042812,33.84253379,77.37063273,10.25653187,210.1377312,66.21489697,10.83386761,28.0076911,2
8,208.3210841,203.0767847,198.652818,23.53595072,21.46485229,25.48505915,43.52442733,12.86508207,208.5639003,61.14493612,6.928626076,23.06309727,2
9,207.1600352,202.5991881,198.2407463,28.30823364,25.93369223,30.7108624,50.13404596,12.66644429,207.6904349,64.94972321,8.416106371,27.25957624,2
10,213.001687,207.5085727,203.7331324,26.5516898,24.34184478,27.89037719,42.68244617,12.02392404,213.2253845,61.71041088,6.104808115,26.07103063,2
11,209.7182119,205.5000299,201.647809,27.84367677,24.78885425,28.30540902,40.08215008,11.07679865,210.2656667,56.92820948,6.170059293,26.83574483,2
12,212.63268,209.5665256,205.1859172,26.14488289,23.78611129,28.03150649,47.74586143,10.39576729,213.2376537,60.77039436,6.437720417,25.00802875,2
13,207.2212327,207.0686932,202.9652984,31.44521786,28.05280315,33.76830923,70.87839624,9.423494025,209.2241868,60.66626036,9.951435088,28.87356007,2
14,211.0367145,211.2151425,206.6775114,29.53346504,25.67301125,30.65849548,61.56820778,9.248431299,213.2080135,59.33312695,8.229388178,26.58507515,2
15,214.3359889,213.2508967,209.8018731,27.51509431,24.40764823,28.1427595,67.04643719,8.005087493,215.7122689,65.63256793,5.861109468,25.46245879,2
16,213.2930061,209.4610966,205.0053308,26.10388002,23.77990062,28.57309616,44.76451398,11.46658344,213.8659716,61.26105848,7.249972491,24.91571042,2
17,208.6331443,208.0622886,202.0439775,29.27940927,25.16861094,31.44852406,55.90711714,11.58493111,210.572859,59.40721323,10.92401397,26.14498631,2
18,211.1379255,209.7831279,205.9106827,27.59132709,24.39734607,28.30949112,50.46852271,8.624716433,212.3181795,58.521735,5.997725192,25.76339772,2
19,215.8806129,213.1204919,209.8945588,25.97898304,24.30187039,28.42061535,61.45172007,8.549726702,216.3141977,67.71930944,6.36492293,25.27398368,2
20,208.4885275,207.1451798,203.1730213,28.50219105,25.25553374,29.49470577,56.08607827,8.764672874,209.6314023,62.0220093,6.607155019,26.5956738,2
21,207.9769998,204.5578012,200.1719324,30.69365926,28.90090784,34.14901531,61.89211932,11.69915085,208.619064,67.10850532,11.07937787,29.73532389,2
22,210.2423436,207.881972,203.4434025,27.07062577,24.71928856,28.97623484,44.57622383,9.930085461,210.991337,55.94804679,7.587713431,25.90857354,2
23,210.8782663,210.5707173,206.3281386,28.23492145,25.17109068,29.72074642,63.69231693,8.092248553,212.2323478,61.88436791,6.962153448,26.14074576,2
